,player_name,firstname,surname,firstname_lower,surname_lower,firstname_upper,surname_upper
0,Aaron Connolly,Aaron,Connolly,aaron,connolly,AARON,CONNOLLY
1,Aaron Cresswell,Aaron,Cresswell,aaron,cresswell,AARON,CRESSWELL
2,Aaron Mooy,Aaron,Mooy,aaron,mooy,AARON,MOOY
3,Aaron Ramsdale,Aaron,Ramsdale,aaron,ramsdale,AARON,RAMSDALE
4,Abdoulaye Doucouré,Abdoulaye,Doucouré,abdoulaye,doucouré,ABDOULAYE,DOUCOURÉ
5,Aboubakar Kamara,Aboubakar,Kamara,aboubakar,kamara,ABOUBAKAR,KAMARA
6,Adama Traoré,Adama,Traoré,adama,traoré,ADAMA,TRAORÉ
7,Adam Forshaw,Adam,Forshaw,adam,forshaw,ADAM,FORSHAW
8,Adam Lallana,Adam,Lallana,adam,lallana,ADAM,LALLANA
9,Adam Webster,Adam,Webster,adam,webster,ADAM,WEBSTER
10,Adrien Silva,Adrien,Silva,adrien,silva,ADRIEN,SILVA
11,Adrián San Miguel del Castillo,Adrián,San,adrián,san,ADRIÁN,SAN
12,Ahmed El-Sayed Hegazy,Ahmed,El-Sayed,ahmed,el-sayed,AHMED,EL-SAYED
13,Ainsley Maitland-Niles,Ainsley,Maitland-Niles,ainsley,maitland-niles,AINSLEY,MAITLAND-NILES
14,Albian Ajeti,Albian,Ajeti,albian,ajeti,ALBIAN,AJETI
15,Aleksandar Mitrović,Aleksandar,Mitrović,aleksandar,mitrović,ALEKSANDAR,MITROVIĆ
16,Alexandre Lacazette,Alexandre,Lacazette,alexandre,lacazette,ALEXANDRE,LACAZETTE
17,Alexis Mac Allister,Alexis,Mac,alexis,mac,ALEXIS,MAC
18,Alex Iwobi,Alex,Iwobi,alex,iwobi,ALEX,IWOBI
19,Alex McCarthy,Alex,McCarthy,alex,mccarthy,ALEX,MCCARTHY
20,Alex Oxlade-Chamberlain,Alex,Oxlade-Chamberlain,alex,oxlade-chamberlain,ALEX,OXLADE-CHAMBERLAIN
21,Alfie Mawson,Alfie,Mawson,alfie,mawson,ALFIE,MAWSON
22,Alireza Jahanbakhsh,Alireza,Jahanbakhsh,alireza,jahanbakhsh,ALIREZA,JAHANBAKHSH
23,Alisson Ramses Becker,Alisson,Ramses,alisson,ramses,ALISSON,RAMSES
24,Allan Marques Loureiro,Allan,Marques,allan,marques,ALLAN,MARQUES
25,Allan Saint-Maximin,Allan,Saint-Maximin,allan,saint-maximin,ALLAN,SAINT-MAXIMIN
26,Alphonse Areola,Alphonse,Areola,alphonse,areola,ALPHONSE,AREOLA
27,Andreas Christensen,Andreas,Christensen,andreas,christensen,ANDREAS,CHRISTENSEN
28,Andrew Robertson,Andrew,Robertson,andrew,robertson,ANDREW,ROBERTSON
29,Andriy Yarmolenko,Andriy,Yarmolenko,andriy,yarmolenko,ANDRIY,YARMOLENKO
30,Andros Townsend,Andros,Townsend,andros,townsend,ANDROS,TOWNSEND
31,André Filipe Tavares Gomes,André,Filipe,andré,filipe,ANDRÉ,FILIPE
32,André-Frank Zambo Anguissa,André-Frank,Zambo,andré-frank,zambo,ANDRÉ-FRANK,ZAMBO
33,Andy Carroll,Andy,Carroll,andy,carroll,ANDY,CARROLL
34,Angelo Ogbonna,Angelo,Ogbonna,angelo,ogbonna,ANGELO,OGBONNA
35,Angus Gunn,Angus,Gunn,angus,gunn,ANGUS,GUNN
36,Anthony Gordon,Anthony,Gordon,anthony,gordon,ANTHONY,GORDON
